grupo,ano,mes,data,obitos,pop_mensal,taxa_mensal
Feminino,2022,7,2022-07-01,331,8712360.416666666,3.799200035007735
Feminino,2022,8,2022-08-01,297,8712360.416666666,3.4089498803543723
Feminino,2022,9,2022-09-01,269,8712360.416666666,3.0875674000516034
Feminino,2022,10,2022-10-01,286,8712360.416666666,3.282692477378285
Feminino,2022,11,2022-11-01,283,8712360.416666666,3.248258640202988
Feminino,2022,12,2022-12-01,283,8712360.416666666,3.248258640202988
Masculino,2000,1,2000-01-01,486,6966859.75,6.975883216251052
Masculino,2000,2,2000-02-01,432,6966859.75,6.200785081112047
Masculino,2000,3,2000-03-01,485,6966859.75,6.9615295470818115
Masculino,2000,4,2000-04-01,442,6966859.75,6.344321772804455
Masculino,2000,5,2000-05-01,411,6966859.75,5.899358028557988
Masculino,2000,6,2000-06-01,407,6966859.75,5.841943351881025
Masculino,2000,7,2000-07-01,411,6966859.75,5.899358028557988
Masculino,2000,8,2000-08-01,443,6966859.75,6.358675441973695
Masculino,2000,9,2000-09-01,429,6966859.75,6.1577240736043235
Masculino,2000,10,2000-10-01,507,6966859.75,7.27731026880511
Masculino,2000,11,2000-11-01,437,6966859.75,6.27255342695825
Masculino,2000,12,2000-12-01,506,6966859.75,7.26295659963587
Masculino,2001,1,2001-01-01,552,7076630.333333333,7.800322667695279
Masculino,2001,2,2001-02-01,487,7076630.333333333,6.881806411535509
Masculino,2001,3,2001-03-01,552,7076630.333333333,7.800322667695279
Masculino,2001,4,2001-04-01,525,7076630.333333333,7.418785145905837
Masculino,2001,5,2001-05-01,494,7076630.333333333,6.980723546814254
Masculino,2001,6,2001-06-01,525,7076630.333333333,7.418785145905837
Masculino,2001,7,2001-07-01,489,7076630.333333333,6.9100684501865794
Masculino,2001,8,2001-08-01,525,7076630.333333333,7.418785145905837
Masculino,2001,9,2001-09-01,505,7076630.333333333,7.136164759395138
Masculino,2001,10,2001-10-01,519,7076630.333333333,7.333999029952627
Masculino,2001,11,2001-11-01,470,7076630.333333333,6.641579083001416
Masculino,2001,12,2001-12-01,534,7076630.333333333,7.545964319835651
Masculino,2002,1,2002-01-01,514,7175673.333333333,7.163090850475357
